,parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock
39,11704347,,,,0.0,0.0,5.0,7.0,,,,1781.0,,,1781.0,,,6037,,,,,,,33997099,-118308380,7484.0,,,,,,1210,31,LAC2,60372324.003,12447.0,3101,118208.0,96043.0,0.0,,,,1.0,,,1934.0,1.0,,30775.0,99589.0,2015,68814.0,2282.52,,,
40,11732547,,,,0.0,0.0,3.0,7.0,,,,4320.0,,,4320.0,,,6037,,,,,,,34040347,-118284504,9410.0,,,,,,1210,31,LAC2,60372211.202,12447.0,3101,403192.0,95987.0,0.0,,,,,,,1925.0,,,51702.0,258557.0,2015,206855.0,3695.84,,,
41,11742147,,,,0.0,0.0,,,,,,,,,,,,6037,,,,,,,34048500,-118351405,3928.0,,,,,,100V,260,LAC4,60372171.001,12447.0,3101,274514.0,96000.0,0.0,,,,,,,,,,4633.0,286462.0,2015,281829.0,3639.9,,,
42,11751547,,,,0.0,0.0,4.0,,,,,1012.0,,,1012.0,,,6037,,,,,,,34059275,-118343860,6163.0,,,,,,1200,47,LAC2,60372162.001,12447.0,3101,274514.0,96017.0,0.0,,,,,,,1936.0,1.0,,51230.0,1178301.0,2015,1127071.0,14592.4,,,
43,11759947,,,,2.0,4.0,,7.0,2.0,,,1931.0,,,1931.0,,,6037,,2.0,,,,,33990297,-118275168,5420.0,,,,,,0200,246,LAR2,60372328.002,12447.0,3101,268496.0,96018.0,0.0,,,,2.0,,,1957.0,,,122915.0,221244.0,2015,98329.0,2885.93,,,
44,11780147,,,,0.0,0.0,,,,,,,,,,,,6037,,,,,,,34046011,-118261452,,,,,,,01HC,266,LAC2,60372079.002,12447.0,3101,268118.0,95996.0,0.0,,,,,,,,,,274602.0,302423.0,2015,27821.0,4920.64,,,
45,11780347,,,,0.0,0.0,,,,,,,,,,,,6037,,,,,,,34046011,-118261452,,,,,,,01HC,266,LAC2,60372079.002,12447.0,3101,268118.0,95996.0,0.0,,,,,,,,,,790507.0,870573.0,2015,80066.0,11581.37,,,
46,11781947,,,,0.0,0.0,3.0,7.0,,,,,,,,,,6037,,,,,,,34053742,-118277178,19283.0,,,,,,1200,47,LAC2,60372094.021,12447.0,3101,268404.0,96038.0,0.0,,,,,,,1920.0,,,182626.0,497257.0,2015,314631.0,8156.96,Y,15.0,
47,11808747,,,,0.0,0.0,4.0,7.0,,,,2427.0,,,2427.0,,,6037,,,,,,,34078681,-118213803,4676.0,,,,,,1210,31,LAC4,60371992.012,12447.0,3101,116206.0,96012.0,0.0,,,,,,,1937.0,1.0,,130000.0,380000.0,2015,250000.0,4937.95,,,
48,11817747,,,,0.0,0.0,4.0,7.0,,,,2718.0,,,2718.0,,,6037,,,,,,,34090024,-118162665,2749.0,,,,,,1210,31,LAC2,60372015.011,12447.0,3101,114914.0,96013.0,0.0,,,,2.0,,,1962.0,1.0,,226398.0,327880.0,2015,101482.0,2236.95,,,
49,11818747,,,,0.0,0.0,,,,,,,,,,,,6037,,,,,,,34072919,-118164004,5875.0,,,,,,0100,261,LAPF,60372017.003,12447.0,3101,403190.0,96013.0,0.0,,,,,,,,,,,11009.0,2015,11009.0,,,,
50,11823747,,,,0.0,0.0,4.0,4.0,,,,3230.0,,,3230.0,,,6037,,,,,,,34048938,-118192806,4995.0,,,,,,1210,31,LAC2,60372032.002,12447.0,3101,113886.0,96044.0,0.0,,,,2.0,,,1927.0,1.0,,42184.0,94118.0,2015,51934.0,1439.04,,,
51,11824947,,,,0.0,0.0,4.0,7.0,,,,2086.0,,,2086.0,,,6037,,,,,,,34040253,-118188151,5279.0,,,,,,1210,31,LCC3*,60375311.013,17882.0,3101,,96044.0,0.0,,,,2.0,,,1908.0,1.0,,101787.0,364299.0,2015,262512.0,6196.56,,,
52,11825347,,,,0.0,0.0,4.0,7.0,,,,4355.0,,,4355.0,,,6037,,,,,,,34033519,-118185231,9132.0,,,,,,1210,31,LCC3*,60375311.014,17882.0,3101,,96044.0,0.0,,,,5.0,,,1957.0,1.0,,299317.0,554292.0,2015,254975.0,9208.71,Y,11.0,
53,11828947,,,,0.0,0.0,4.0,7.0,,,,4567.0,,,4567.0,,,6037,,,,,,,34028416,-118191127,5163.0,,,,,,1210,31,LCC3*,60375312.012,17882.0,3101,,96044.0,0.0,,,,1.0,,,1909.0,1.0,,37097.0,55024.0,2015,17927.0,2778.74,,,
54,11829547,,,,0.0,0.0,4.0,7.0,,,,2156.0,,,2156.0,,,6037,,,,,,,34024226,-118188022,7165.0,,,,,,1210,31,LCM1*,60375312.021,17882.0,3101,,96004.0,0.0,,,,2.0,,,1959.0,1.0,,202976.0,338633.0,2015,135657.0,5716.15,,,
55,11852147,,,,0.0,0.0,4.0,7.0,,,,3159.0,,,3159.0,,,6037,,,,,,,34021350,-118130571,2555.0,,,,,,1210,31,MNC2*,60375302.041,25953.0,3101,,96192.0,0.0,,,,2.0,,,1955.0,1.0,,58726.0,72165.0,2015,13439.0,1614.71,Y,15.0,
56,11900147,,,,0.0,0.0,3.0,,,,,6150.0,,,6150.0,,,6037,,,,,,,34096844,-118107664,4022.0,,,,,,1200,47,SLC2D*,60374811.011,33837.0,3101,,96515.0,0.0,,,,,,,1916.0,1.0,,217832.0,400448.0,2015,182616.0,6693.9,,,
57,11918747,,,,0.0,0.0,3.0,4.0,,,,1045.0,,,1045.0,,,6037,,,,,,,34081400,-118085000,117792.0,,,,,,120C,47,SLM1-R3*,60374814.025,33837.0,3101,,96515.0,0.0,,,,1.0,,,1993.0,,,188117.0,313528.0,2015,125411.0,4521.82,,,
58,11935747,,,,0.0,0.0,,,,,,,,,,,,6037,,,,,,,34071672,-118250933,2500.0,,,,,,040V,248,LARD2,60371976.002,12447.0,3101,268134.0,96007.0,0.0,,,,,,,,,,,1808.0,2015,1808.0,34.1,,,
59,11936547,,,,0.0,0.0,,,,,,,,,,,,6037,,,,,,,34067385,-118242805,25183.0,,,,,,040V,248,LAR3,60371977.003,12447.0,3101,268134.0,95993.0,0.0,,,,,,,,,,,120596.0,2015,120596.0,1754.55,,,
60,11951747,,,,0.0,0.0,,,,,,,,,,,,6037,,,,,,,34104348,-118254681,5173.0,,,,,,100V,260,LAR2,60371873.001,12447.0,3101,268473.0,96020.0,0.0,,,,,,,,,,2225.0,537313.0,2015,535088.0,6520.09,,,
61,11954547,,,,0.0,0.0,,,,,,1200.0,1200.0,,,,,6037,,,,,,,34097714,-118248712,4054.0,,,,,,0109,261,LAR1,60371974.101,12447.0,3101,268134.0,96020.0,0.0,,,,,,,1972.0,,,587.0,5249.0,2015,4662.0,91.6,,,
62,11960747,13.0,,,0.0,0.0,4.0,,,,,7323.0,,,7323.0,,,6037,,,,,,,34117105,-118242371,9099.0,,,,,,1210,31,LAC1,60371864.011,12447.0,3101,273825.0,96046.0,0.0,,,,,,,1960.0,,,126667.0,177232.0,2015,50565.0,2676.72,,,
63,11978347,13.0,,,0.0,0.0,4.0,,,,,5085.0,,,5085.0,,,6037,,,,,,,34110288,-118191254,3751.0,,,,,,1200,47,LAC4,60371836.102,12447.0,3101,115609.0,96023.0,0.0,,,,,,,1919.0,1.0,,157401.0,281661.0,2015,124260.0,5381.07,,,
64,12013147,,,,0.0,0.0,,,,,,,,,,,,6037,,,,,,,34099979,-118341961,976.0,,,,,,040V,248,LARD1.5,60371901.003,12447.0,3101,32059.0,96009.0,0.0,,,,,,,,,,,25000.0,2015,25000.0,331.47,,,
65,12022147,,,,0.0,0.0,4.0,7.0,,,,10152.0,,,10152.0,,,6037,,,,,,,34090892,-118385831,6057.0,,,,,,1200,47,WDC2A*,60377005.011,48424.0,3101,,96050.0,0.0,,,,,,,1936.0,1.0,,839931.0,2070254.0,2015,1230323.0,28990.15,,,
66,12037147,,,,0.0,0.0,4.0,7.0,,,,5482.0,,,5482.0,,,6037,,,,,,,34102958,-118286134,6348.0,,,,,,1210,31,LAC4,60371891.011,12447.0,3101,274359.0,96008.0,0.0,,,,4.0,,,1942.0,,,191820.0,396431.0,2015,204611.0,5488.44,,,
67,12060147,,,,0.0,0.0,4.0,7.0,,,,5302.0,,,5302.0,,,6037,,,,,,,34162542,-118264158,5567.0,,,,,,1210,31,GLC3*,60373012.061,45457.0,3101,275856.0,96321.0,0.0,,,,4.0,,,1940.0,,,328484.0,786107.0,2015,457623.0,8944.55,,,
68,12076747,,,,0.0,0.0,,,,,,,,,,,,6037,,,,,,,34172392,-118198221,9787.0,,,,,,010V,260,GLR1RY,60373009.011,45457.0,3101,276256.0,96325.0,0.0,,,,,,,,,,18359.0,178495.0,2015,160136.0,1991.53,Y,15.0,
69,12077147,,,,0.0,0.0,,,,,,,,,,,,6037,,,,,,,34170195,-118191644,2111.0,,,,,,0100,261,GLR1RY,60373009.012,45457.0,3101,276256.0,96325.0,0.0,,,,,,,,,,,2171.0,2015,2171.0,,,,
70,12104147,,,,0.0,0.0,3.0,7.0,,,,6200.0,,,6200.0,,,6037,,,,,,,34148283,-118149156,10004.0,,,,,,1200,47,PSC-,60374619.022,47019.0,3101,275958.0,96291.0,0.0,,,,,,,1924.0,1.0,,214294.0,2571561.0,2015,2357267.0,33702.9,,,
71,12111347,,,,0.0,0.0,2.0,,,,,18348.0,,,18348.0,,,6037,,,,,,,34144225,-118132334,53507.0,,,,,,120C,47,PSC,60374636.013,47019.0,3101,275405.0,96289.0,0.0,,,,,,,2006.0,,,3962686.0,8283548.0,2015,4320862.0,104673.72,,,
72,12144747,,,,4.0,4.0,,7.0,4.0,,,3086.0,,,3086.0,,,6037,,4.0,,,,,34111765,-118045669,12843.0,,,,,,0200,246,ARR1YY,60374316.002,50749.0,3101,,96268.0,0.0,,,,2.0,,,1950.0,,,338167.0,993913.0,2015,655746.0,9602.77,,,
73,12167947,,,,0.0,0.0,,,,,,,,,,,,6037,,,,,,,34202429,-118123203,145953.0,,,,,,0100,261,LCR120000*,60374601.002,30187.0,3101,,96265.0,0.0,,,,,,,,,,,378.0,2015,378.0,,,,
74,12168547,,,,0.0,0.0,,,,,,,,,,,,6037,,,,,,,34192420,-118125270,5504.0,,,,,,010V,261,LCR120,60374601.003,30187.0,3101,,96265.0,0.0,,,,,,,,,,,34466.0,2015,34466.0,1057.69,,,
75,12171147,,,,0.0,0.0,4.0,7.0,,,,2098.0,,,2098.0,,,6037,,,,,,,34171205,-118131784,5927.0,,,,,,1210,31,PSC-,60374615.012,47019.0,3101,273539.0,96292.0,0.0,,,,,,,1929.0,1.0,,19354.0,43809.0,2015,24455.0,1112.02,,,
76,12188547,,,,0.0,0.0,4.0,,,,,1377.0,,,1377.0,,,6037,,,,,,,33976720,-118268917,3251.0,,,,,,1210,31,LAR3,60372393.202,12447.0,3101,268496.0,95984.0,0.0,,,,,,,1923.0,1.0,,15911.0,47752.0,2015,31841.0,834.94,Y,11.0,
77,12195547,,,,0.0,0.0,4.0,7.0,,,,2649.0,,,2649.0,,,6037,,,,,,7.0,33972924,-118288809,5602.0,,,,,,1210,31,LARD2,60372377.101,12447.0,3101,118208.0,96025.0,0.0,,,,1.0,,,1912.0,1.0,,74940.0,152999.0,2015,78059.0,2135.55,,,
78,12209347,,,,0.0,0.0,4.0,7.0,,,,2440.0,,,2440.0,,,6037,,,,,,,33955375,-118307766,3000.0,,,,,,1210,31,LAC2,60372384.002,12447.0,3101,118208.0,96028.0,0.0,,,,,,,1947.0,1.0,,58402.0,181354.0,2015,122952.0,2452.47,,,
79,12211747,,,,0.0,0.0,4.0,7.0,,,,2675.0,,,2675.0,,,6037,,,,,,,33956700,-118274000,2750.0,,,,,,1210,31,LAC2,60372402.003,12447.0,3101,268496.0,95984.0,0.0,,,,,,,1960.0,1.0,,61377.0,150891.0,2015,89514.0,2076.56,,,
80,12228547,,,,0.0,0.0,4.0,,,,,1564.0,,,1564.0,,,6037,,,,,,,33938538,-118268310,,,,,,,1210,31,LARD2,60372409.005,12447.0,3101,268496.0,96042.0,0.0,,,,1.0,,,1935.0,1.0,,92600.0,235000.0,2015,142400.0,3354.42,,,
81,12254347,,,,0.0,0.0,4.0,10.0,,,,1208.0,,,1208.0,,,6037,,,,,,,33885660,-118290186,6447.0,,,,,,1210,31,LAR3,60372912.102,12447.0,3101,273930.0,96104.0,0.0,,,,1.0,,,1953.0,1.0,,12621.0,44822.0,2015,32201.0,1095.0,,,
82,12257147,,,,0.0,0.0,,,,,,,,,,,,6037,,,,,,,33915785,-118271373,91940.0,,,,,,1210,31,LCR1*,60375409.023,118994.0,3101,,96042.0,0.0,,,,,,,,1.0,,,62374.0,2015,62374.0,,,,
83,12310147,,,,0.0,0.0,,,,,,,,,,,,6037,,,,,,,33954475,-118183468,,,,,,,300V,260,SGM2,60375360.001,47762.0,3101,,96125.0,0.0,,,,,,,,,,5763000.0,27864269.0,2015,22101269.0,362406.91,,,
84,12311747,,,,0.0,0.0,4.0,4.0,,,,10030.0,,,10030.0,,,6037,,,,,,,33943371,-118199640,17595.0,,,,,,1200,47,SGC2*,60375359.024,47762.0,3101,,96125.0,0.0,,,,,,,1985.0,,,3070139.0,3784125.0,2015,713986.0,49852.47,,,
85,12322547,,,,0.0,0.0,,,,,,,,,,,,6037,,,,,,,33906779,-118177023,7936.0,,,,,,300V,260,PAM2*,60375537.011,6395.0,3101,,96220.0,0.0,,,,,,,,,,5000.0,304150.0,2015,299150.0,3697.21,,,
86,12360147,,,,0.0,0.0,4.0,7.0,,,,3084.0,,,3084.0,,,6037,,,,,,,33980399,-118206130,2834.0,,,,,,1210,31,HPCG*,60375332.012,39076.0,3101,,96110.0,0.0,,,,,,,1926.0,1.0,,120906.0,265147.0,2015,144241.0,4780.24,,,
87,12366747,,,,0.0,0.0,4.0,,,,,2029.0,,,2029.0,,,6037,,,,,,,33975454,-118164470,6369.0,,,,,,1210,31,BGCM*,60375341.012,16961.0,3101,,96083.0,0.0,,,,1.0,,,1944.0,1.0,,106417.0,370250.0,2015,263833.0,6546.14,,,
88,12371547,,,,0.0,0.0,4.0,7.0,,,,1902.0,,,1902.0,,,6037,,,,,,7.0,34014159,-118146081,2471.0,,,,,,1210,31,CMC2*,60375323.033,17882.0,3101,,96003.0,0.0,,,,1.0,,,1951.0,1.0,,26495.0,43607.0,2015,17112.0,1028.06,,,
89,12378747,,,,0.0,0.0,4.0,,,,,1534.0,,,1534.0,,,6037,,,,,,,34011495,-118115623,5840.0,,,,,,1200,47,MNC2*,60375320.021,25953.0,3101,,96192.0,0.0,,,,,,,1923.0,,,95818.0,274447.0,2015,178629.0,4286.01,,,
90,12405147,,,,0.0,0.0,,,,,,,,,,,,6037,,,,,,,33881947,-118064573,1163.0,,,,,,010D,269,CEADP3,60375545.131,10774.0,3101,,96206.0,0.0,,,,,,,,,,,9.0,2015,9.0,,,,
91,12408747,,,,0.0,0.0,,,,,,,,,,,,6037,,,,,,,33878703,-118087837,361.0,,,,,,010D,269,CEADP6,60375545.213,10774.0,3101,,96206.0,0.0,,,,,,,,,,,9.0,2015,9.0,,,,
